Infiltrating Macrophages (HSV1_UP),Infiltrating Macrophages (HSV1_DOWN),Infiltrating Macrophages (ALL_DEGs),Transiently Activated Microglia (HSV1_UP),Transiently Activated Microglia (HSV1_DOWN),Transiently Activated Microglia (ALL_DEGs),Homeostatic Microglia (HSV1_UP),Homeostatic Microglia (HSV1_DOWN),Homeostatic Microglia (ALL_DEGs),IFN-Responsive Microglia (MARKERS_pos)
Iigp1,Rnase4,Iigp1,Camk1d,Camk1,Camk1d,Camk1d,Cd9,Camk1d,Stat1
Nlrc5,Nfia,Nlrc5,Gm42418,Ulk2,Gm42418,Gm42418,Dapp1,Gm42418,Nlrc5
Camk1d,Serinc3,Camk1d,H2-K1,Hpgd,H2-K1,H2-D1,Mtdh,H2-D1,Rnf213
Stat1,Sh3kbp1,Stat1,H2-D1,Tyrobp,H2-D1,B2m,Man2b1,B2m,Trim30a
Rnf213,Tbc1d5,Rnf213,B2m,Plekho1,B2m,H2-K1,Apoe,H2-K1,Ly86
Samhd1,Kansl1,Samhd1,Btg1,Slc15a2,Btg1,Cmss1,Tpt1,Cmss1,Ifi204
Parp14,Ccnd3,Parp14,Stat1,Itm2b,Stat1,Stat1,Slc15a2,Stat1,Parp14
Trim30a,Hdac9,Trim30a,Cmss1,Slc12a6,Cmss1,Lars2,Arhgap45,Lars2,Stat2
Ptprc,Otulinl,Ptprc,Ly6e,Ltc4s,Ly6e,Ly6e,Tyrobp,Ly6e,Gm4951
Oasl2,Rhob,Oasl2,Nlrc5,Arhgap45,Nlrc5,Ly86,Trem2,Ly86,Ccl12
H2-K1,Wdfy3,H2-K1,4933406I18Rik,Rps29,4933406I18Rik,E230029C05Rik,Rps29,E230029C05Rik,Herc6
Ifi211,Kctd12,Ifi211,E230029C05Rik,Selplg,E230029C05Rik,Nlrc5,Sparc,Nlrc5,Samhd1
Stat2,Zfp644,Stat2,Cacnb2,Otulinl,Cacnb2,mt-Nd4,Mir142hg,mt-Nd4,Atp8a1
Gm42418,Colec12,Gm42418,Ly86,Selenop,Ly86,Dhx9,Gpr34,Dhx9,AU020206
Cers6,Ivns1abp,Cers6,Lars2,Trem2,Lars2,Cd74,C1qb,Cd74,Eif2ak2
Etv6,Fgd4,Etv6,Ccl12,Mir142hg,Ccl12,Ccl12,Atp6v0b,Ccl12,Pik3ap1
Cd74,Btg2,Cd74,Epsti1,Atp6v0b,Epsti1,Fkbp5,C1qc,Fkbp5,Sp100
Pde7b,Mir99ahg,Pde7b,Parp14,Gpr34,Parp14,B4galt1,Hpgd,B4galt1,Trim30d
Herc6,Fli1,Herc6,Lgals3bp,mt-Co1,Lgals3bp,Rnf213,Rpl10,Rnf213,Etv6
Gbp7,Pf4,Gbp7,Fkbp5,Apoe,Fkbp5,Ifi27l2a,Fcrls,Ifi27l2a,Nav3
Ifitm3,Slc12a6,Ifitm3,Nlrp1b,Man2b1,Nlrp1b,Wdfy4,Cst3,Wdfy4,Gbp7
Parp11,Atp6v0b,Parp11,Cd74,P2ry12,Cd74,Irf2,,Irf2,Parp9
Ly6e,Cd14,Ly6e,Mitf,Fcrls,Mitf,Nav3,,Nav3,Irf8
Gm4951,Maf,Gm4951,Samhd1,AY036118,Samhd1,Hck,,Hck,Nampt
Mndal,Ulk2,Mndal,Hspa1b,Rpl10,Hspa1b,4933406I18Rik,,4933406I18Rik,Gbp2
Gbp5,Jun,Gbp5,AU020206,Sparc,AU020206,Lgals3bp,,Lgals3bp,H2-D1
Gbp2,P2rx7,Gbp2,Ptprj,Cst3,Ptprj,Gm19951,,Gm19951,Epsti1
March1,Ints6l,March1,Maml2,,Maml2,Herc6,,Herc6,Zup1
Parp9,Zdhhc14,Parp9,Rnf213,,Rnf213,Lrmda,,Lrmda,H2-K1
Nampt,Agmo,Nampt,Herc6,,Herc6,Maml2,,Maml2,Slfn8
Zc3hav1,C1qb,Zc3hav1,Mctp1,,Mctp1,Ints6l,,Ints6l,Ctsc
Gbp4,Prkn,Gbp4,,,Camk1,Parp14,,Parp14,Ddx60
Itpr1,Hexb,Itpr1,,,Ulk2,Vrk2,,Vrk2,Runx1
Ranbp2,Atxn1,Ranbp2,,,Hpgd,,,Cd9,Ly6e
Ifi203,Abca1,Ifi203,,,Tyrobp,,,Dapp1,Lrmda
Ifi204,Jund,Ifi204,,,Plekho1,,,Mtdh,Irf1
Arid5b,St3gal6,Arid5b,,,Slc15a2,,,Man2b1,Irgm1
H2-D1,Lyz2,H2-D1,,,Itm2b,,,Apoe,Usp25
Capza2,Mertk,Capza2,,,Slc12a6,,,Tpt1,Stat3
Tap1,Trf,Tap1,,,Ltc4s,,,Slc15a2,Camk2d
Fgl2,Rnf150,Fgl2,,,Arhgap45,,,Arhgap45,Capza2
H2-Ab1,Siglech,H2-Ab1,,,Rps29,,,Tyrobp,Fcgr1
B2m,Qk,B2m,,,Selplg,,,Trem2,Pvt1
Irf1,Hpgd,Irf1,,,Otulinl,,,Rps29,Hck
Ms4a4c,Zfp36l1,Ms4a4c,,,Selenop,,,Sparc,Cd74
Sp100,F13a1,Sp100,,,Trem2,,,Mir142hg,Etnk1
Gm20559,C1qc,Gm20559,,,Mir142hg,,,Gpr34,B2m
Gbp8,Cfh,Gbp8,,,Atp6v0b,,,C1qb,Igtp
Ifi213,Hpgds,Ifi213,,,Gpr34,,,Atp6v0b,Acer3
Cd47,Lrp6,Cd47,,,mt-Co1,,,C1qc,Ifi207
Ccl12,Selenop,Ccl12,,,Apoe,,,Hpgd,Znfx1
Slfn5,C1qa,Slfn5,,,Man2b1,,,Rpl10,Nlrp1b
Actb,Ctsd,Actb,,,P2ry12,,,Fcrls,Apobec1
Ascc3,Gm5086,Ascc3,,,Fcrls,,,Cst3,Gbp5
Zc3h7a,Cd163,Zc3h7a,,,AY036118,,,,Oasl2
Pim1,Mctp1,Pim1,,,Rpl10,,,,Gatm
Irgm1,Ssh2,Irgm1,,,Sparc,,,,Diaph2
Cdk14,Csf1r,Cdk14,,,Cst3,,,,Ctss
Tapbp,Itm2b,Tapbp,,,,,,,Lrch3
Ifi209,Dab2,Ifi209,,,,,,,Lcp2
Slco3a1,Wwp1,Slco3a1,,,,,,,Rad51b
Xdh,Mrc1,Xdh,,,,,,,9930111J21Rik2
Cd274,Sbf2,Cd274,,,,,,,Lyn
Pik3ap1,AC149090.1,Pik3ap1,,,,,,,Larp1
Cd52,Snx29,Cd52,,,,,,,Ifih1
Ifi205,Pde4d,Ifi205,,,,,,,Apobec3
Znfx1,Abca9,Znfx1,,,,,,,Mycbp2
Lpp,Slc9a9,Lpp,,,,,,,Zc3hav1
Lars2,Fcrls,Lars2,,,,,,,Snd1
Gsap,Cst3,Gsap,,,,,,,Atp6v0a2
Hk3,Stab1,Hk3,,,,,,,E230029C05Rik
Eif2ak2,Apoe,Eif2ak2,,,,,,,Tap1
Gvin1,,Gvin1,,,,,,,Chd7
Klrk1,,Klrk1,,,,,,,Casp4
Trim30d,,Trim30d,,,,,,,Ascc3
H2-Aa,,H2-Aa,,,,,,,Hspa5
Acer3,,Acer3,,,,,,,Morc3
H2-T23,,H2-T23,,,,,,,Ikzf1
Dennd1b,,Dennd1b,,,,,,,Pign
Pfkp,,Pfkp,,,,,,,Lgals3bp
Ifih1,,Ifih1,,,,,,,G530011O06Rik
Atp8a1,,Atp8a1,,,,,,,Parp12
Apobec3,,Apobec3,,,,,,,Camk1d
Slamf7,,Slamf7,,,,,,,Adar
Naaa,,Naaa,,,,,,,Lair1
Cmss1,,Cmss1,,,,,,,Iigp1
Arhgap15,,Arhgap15,,,,,,,Cd180
Akt3,,Akt3,,,,,,,Bst2
B4galt5,,B4galt5,,,,,,,Bmp2k
Skap2,,Skap2,,,,,,,Spata5
Cxcl10,,Cxcl10,,,,,,,Gm26917
Lrch3,,Lrch3,,,,,,,Ptpn1
Samd9l,,Samd9l,,,,,,,Ccr5
Htt,,Htt,,,,,,,Btaf1
Irf7,,Irf7,,,,,,,Trafd1
Cxcl9,,Cxcl9,,,,,,,Fmnl2
Lnpep,,Lnpep,,,,,,,H2-T23
Actr3,,Actr3,,,,,,,Vps54
Tmem131,,Tmem131,,,,,,,Slfn5
Arfgef1,,Arfgef1,,,,,,,Zfand3
Psme2,,Psme2,,,,,,,Skap2
Clic4,,Clic4,,,,,,,Gbp4
,,Rnase4,,,,,,,Eml4
,,Nfia,,,,,,,Lacc1
,,Serinc3,,,,,,,Prr5l
,,Sh3kbp1,,,,,,,Cacnb2
,,Tbc1d5,,,,,,,Cept1
,,Kansl1,,,,,,,Gvin1
,,Ccnd3,,,,,,,Mllt3
,,Hdac9,,,,,,,Ophn1
,,Otulinl,,,,,,,Fndc3b
,,Rhob,,,,,,,Synj1
,,Wdfy3,,,,,,,Fgd2
,,Kctd12,,,,,,,Gm12185
,,Zfp644,,,,,,,Ifi209
,,Colec12,,,,,,,Fgl2
,,Ivns1abp,,,,,,,Aig1
,,Fgd4,,,,,,,Pla2g4a
,,Btg2,,,,,,,Hk2
,,Mir99ahg,,,,,,,Sp110
,,Fli1,,,,,,,Itgam
,,Pf4,,,,,,,Rnpep
,,Slc12a6,,,,,,,Akt3
,,Atp6v0b,,,,,,,B4galt1
,,Cd14,,,,,,,Ranbp2
,,Maf,,,,,,,Tiam1
,,Ulk2,,,,,,,Gls
,,Jun,,,,,,,Ptprj
,,P2rx7,,,,,,,Gm4070
,,Ints6l,,,,,,,Map4
,,Zdhhc14,,,,,,,Ptprc
,,Agmo,,,,,,,Tor1aip1
,,C1qb,,,,,,,Lpp
,,Prkn,,,,,,,Fndc3a
,,Hexb,,,,,,,Hps3
,,Atxn1,,,,,,,Nktr
,,Abca1,,,,,,,Plek
,,Jund,,,,,,,Luc7l3
,,St3gal6,,,,,,,Sppl2a
,,Lyz2,,,,,,,Gbp8
,,Mertk,,,,,,,Clec2d
,,Trf,,,,,,,Irgm2
,,Rnf150,,,,,,,Xrn2
,,Siglech,,,,,,,Trim12a
,,Qk,,,,,,,Zc3h7a
,,Hpgd,,,,,,,Gbp9
,,Zfp36l1,,,,,,,H2-T24
,,F13a1,,,,,,,Pdia3
,,C1qc,,,,,,,Slc15a3
,,Cfh,,,,,,,Ppp3ca
,,Hpgds,,,,,,,Bin2
,,Lrp6,,,,,,,Cdk6
,,Selenop,,,,,,,Naip2
,,C1qa,,,,,,,Rhoh
,,Ctsd,,,,,,,Fcgr4
,,Gm5086,,,,,,,Rtp4
,,Cd163,,,,,,,Dpysl2
,,Mctp1,,,,,,,Cyld
,,Ssh2,,,,,,,Tasor2
,,Csf1r,,,,,,,Fnbp4
,,Itm2b,,,,,,,Uvrag
,,Dab2,,,,,,,Vmp1
,,Wwp1,,,,,,,Nr3c1
,,Mrc1,,,,,,,Gbp3
,,Sbf2,,,,,,,Itpr1
,,AC149090.1,,,,,,,Cd274
,,Snx29,,,,,,,Disc1
,,Pde4d,,,,,,,Parp8
,,Abca9,,,,,,,Nod1
,,Slc9a9,,,,,,,Fam49b
,,Fcrls,,,,,,,Rrbp1
,,Cst3,,,,,,,Tut7
,,Stab1,,,,,,,Htt
,,Apoe,,,,,,,Atf6
,,,,,,,,,Man1a2
,,,,,,,,,Dnajc13
,,,,,,,,,Btg1
,,,,,,,,,Lgals9
,,,,,,,,,Mid1
,,,,,,,,,Dpy19l4
,,,,,,,,,Hsp90b1
,,,,,,,,,Actr2
,,,,,,,,,Akap9
,,,,,,,,,Aim2
,,,,,,,,,Slfn2
,,,,,,,,,H2-Ab1
,,,,,,,,,Lars2
,,,,,,,,,Gna13
,,,,,,,,,Gsap
,,,,,,,,,Setd3
,,,,,,,,,Ikzf2
,,,,,,,,,Taok3
,,,,,,,,,Peli1
,,,,,,,,,Ap3b1
,,,,,,,,,Cdk14
,,,,,,,,,Ankrd17
,,,,,,,,,Tor3a
,,,,,,,,,Ank2
,,,,,,,,,Xaf1
,,,,,,,,,Tap2
,,,,,,,,,Dtx3l
,,,,,,,,,Trim14
,,,,,,,,,Cux1
,,,,,,,,,Scfd1
,,,,,,,,,Naa25
,,,,,,,,,Clint1
,,,,,,,,,March5
,,,,,,,,,Usp18
,,,,,,,,,Gm26740
,,,,,,,,,Rap1b
,,,,,,,,,Atm
,,,,,,,,,Lpcat2
,,,,,,,,,Mbd2
,,,,,,,,,Il10ra
,,,,,,,,,Ecpas
,,,,,,,,,Fcgr2b
,,,,,,,,,Pnpt1
,,,,,,,,,Rufy3
,,,,,,,,,Tpd52
,,,,,,,,,Snx2
,,,,,,,,,Nfkb1
,,,,,,,,,Mdn1
,,,,,,,,,Xrn1
,,,,,,,,,Lnpep
,,,,,,,,,Psme4
,,,,,,,,,Pou2f2
,,,,,,,,,Abr
,,,,,,,,,Mpeg1
,,,,,,,,,Pml
,,,,,,,,,Ttc39b
,,,,,,,,,Sbno2
,,,,,,,,,Nfxl1
,,,,,,,,,Susd6
,,,,,,,,,Atp2a2
,,,,,,,,,Tbc1d1
,,,,,,,,,Parp10
,,,,,,,,,Wwox
,,,,,,,,,Nup98
,,,,,,,,,Prkcb
,,,,,,,,,Tdrd7
,,,,,,,,,Spint1
,,,,,,,,,Lap3
,,,,,,,,,Arhgap24
,,,,,,,,,Cd47
,,,,,,,,,Icam1
,,,,,,,,,Vti1a
,,,,,,,,,Jak2
,,,,,,,,,Msn
,,,,,,,,,Eif3a
,,,,,,,,,Ntpcr
,,,,,,,,,Sdc3
,,,,,,,,,Fus
,,,,,,,,,Exoc6
,,,,,,,,,Ino80
,,,,,,,,,Hsp90ab1
,,,,,,,,,Mia2
,,,,,,,,,Wdr43
,,,,,,,,,Efhd2
,,,,,,,,,Iqsec2
,,,,,,,,,Tnfaip8
,,,,,,,,,Gm47283
,,,,,,,,,Hltf
,,,,,,,,,Nup153
,,,,,,,,,Ripor2
,,,,,,,,,Hacd2
,,,,,,,,,Sp140
,,,,,,,,,Gab2
,,,,,,,,,Ddx58
,,,,,,,,,Xpo6
,,,,,,,,,Abcc5
,,,,,,,,,Rapgef5
,,,,,,,,,Apc
,,,,,,,,,Smchd1
,,,,,,,,,Ambra1
,,,,,,,,,Bcl2l1
,,,,,,,,,Taf15
,,,,,,,,,Slc12a9
,,,,,,,,,Dennd1b
,,,,,,,,,Tle4
,,,,,,,,,Myo9a
,,,,,,,,,Tlr3
,,,,,,,,,Gm40645
,,,,,,,,,Sgk3
,,,,,,,,,Vav1
,,,,,,,,,March1
,,,,,,,,,Baz1a
,,,,,,,,,Naa15
,,,,,,,,,Exoc4
,,,,,,,,,Tapbp
,,,,,,,,,Lcor
,,,,,,,,,Tbc1d14
,,,,,,,,,Psme2
,,,,,,,,,Cpq
,,,,,,,,,Gcnt2
,,,,,,,,,Fgfr1op
,,,,,,,,,Ifi30
,,,,,,,,,Irf2
,,,,,,,,,Mb21d2
,,,,,,,,,Pcca
,,,,,,,,,Csf1
