"ProteinROI","ROI_number","Slide_number","Slide Name","Scan Name","Segment","Area","Tags","Nuclei","ROI Coordinate X","ROI Coordinate Y","Scan Date","Scan Width","Scan Height","Scan Offset X","Scan Offset Y","(v1.0) Mouse NGS Whole Transcriptome Atlas RNA","condition","region","ROI (Label)","segment","ROI_name","Slide_name","side_of_slide","infected_region","antigen","NegGeoMean_Mm_R_NGS_WTA_v1.0","NegGeoSD_Mm_R_NGS_WTA_v1.0","LOQ","GenesDetected","GeneDetectionRate","DetectionThreshold","q_norm_qFactors","neg_norm_negFactors","UMAP1","UMAP2","corrected_infection","infection_region","region_annotation"
"Slide 11_protein_NoMorph_12202023_001","001","11","11_WTA","11_WTA_final","Full ROI",70442.16,NA,269,33488.21484375,20356.43359375,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","tract","001","mock negative","Mock_001","11_WTA_Mock","top","Uninfected","HSV1 negative","1.65214041579423","1.75957056630984","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_002","002","11","11_WTA","11_WTA_final","Full ROI",77751.37,NA,238,33365.17578125,21154.2578125,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","tract","002","mock negative","Mock_002","11_WTA_Mock","top","Uninfected","HSV1 negative","1.788793906127","1.86162046267633","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_003","003","11","11_WTA","11_WTA_final","Full ROI",77751.37,NA,250,33699.06640625,21896.74609375,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","tract","003","mock negative","Mock_003","11_WTA_Mock","top","Uninfected","HSV1 negative","1.68504323732693","1.76284134678997","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_004","004","11","11_WTA","11_WTA_final","Full ROI",59274.89,NA,247,34263.578125,20162.166015625,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","nuclei","004","mock negative","Mock_004","11_WTA_Mock","top","Uninfected","HSV1 negative","1.65192347142056","1.77405185418873","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_006","006","11","11_WTA","11_WTA_final","Full ROI",70442.16,NA,274,34457.01171875,21648.697265625,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","nuclei","006","mock negative","Mock_006","11_WTA_Mock","top","Uninfected","HSV1 negative","1.56172878363404","1.72459390700446","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_007","007","11","11_WTA","11_WTA_final","Full ROI",96091.36,NA,214,43748.44140625,18568.0625,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","tract","007","mock negative","Mock_007","11_WTA_Mock","bottom","Uninfected","HSV1 negative","1.82787380669743","1.79200252282703","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_008","008","11","11_WTA","11_WTA_final","Full ROI",82955.51,NA,230,44248.89453125,19291.373046875,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","tract","008","mock negative","Mock_008","11_WTA_Mock","bottom","Uninfected","HSV1 negative","1.50935682197665","1.74459241777324","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_009","009","11","11_WTA","11_WTA_final","Full ROI",70442.16,NA,247,44760.2890625,19918.875,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","tract","009","mock negative","Mock_009","11_WTA_Mock","bottom","Uninfected","HSV1 negative","1.49766423076717","1.71433434002819","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_010","010","11","11_WTA","11_WTA_final","Full ROI",59274.89,NA,262,43693.90625,19952.666015625,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","nuclei","010","mock negative","Mock_010","11_WTA_Mock","bottom","Uninfected","HSV1 negative","1.46987820766031","1.73162352167541","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_011","011","11","11_WTA","11_WTA_final","Full ROI",59274.89,NA,254,43278.7265625,19301.134765625,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","nuclei","011","mock negative","Mock_011","11_WTA_Mock","bottom","Uninfected","HSV1 negative","1.80408794636799","1.76272669290907","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_013","013","11","11_WTA","11_WTA_final","Full ROI",59274.89,NA,227,77165.3828125,22408.5,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","tract","013","mock negative","Mock_013","11_WTA_Mock","top","Uninfected","HSV1 negative","1.63631522138315","1.80553152964249","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_014","014","11","11_WTA","11_WTA_final","Full ROI",70442.16,NA,250,76847.5625,23091.732421875,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","tract","014","mock negative","Mock_014","11_WTA_Mock","top","Uninfected","HSV1 negative","1.89824639848648","1.891245949785","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_015","015","11","11_WTA","11_WTA_final","Full ROI",70442.16,NA,256,76806.109375,23867.0859375,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","tract","015","mock negative","Mock_015","11_WTA_Mock","top","Uninfected","HSV1 negative","2.05795118066305","1.85371474387068","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_016","016","11","11_WTA","11_WTA_final","Full ROI",59274.89,NA,281,77902.3515625,22354.76171875,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","nuclei","016","mock negative","Mock_016","11_WTA_Mock","top","Uninfected","HSV1 negative","2.07628794766848","1.89327359780442","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_017","017","11","11_WTA","11_WTA_final","Full ROI",59274.89,NA,257,77607.5625,23019.5703125,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","nuclei","017","mock negative","Mock_017","11_WTA_Mock","top","Uninfected","HSV1 negative","1.87355080761601","1.83989714973679","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_018","018","11","11_WTA","11_WTA_final","Full ROI",59274.89,NA,252,77586.15625,23761.23046875,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","nuclei","018","mock negative","Mock_018","11_WTA_Mock","top","Uninfected","HSV1 negative","1.84332212785277","1.91081715689697","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_019","019","11","11_WTA","11_WTA_final","Full ROI",96091.36,NA,267,88210.8984375,19899.3515625,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","tract","019","mock negative","Mock_019","11_WTA_Mock","bottom","Uninfected","HSV1 negative","1.47611191921698","1.70985437656919","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_022","022","11","11_WTA","11_WTA_final","Full ROI",37872.82,NA,272,87659.171875,20395.1953125,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","nuclei","022","mock negative","Mock_022","11_WTA_Mock","bottom","Uninfected","HSV1 negative","1.1883451727362","1.5118163497156","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide 11_protein_NoMorph_12202023_023","023","11","11_WTA","11_WTA_final","Full ROI",49048.06,NA,239,88198.625,20663.767578125,"2023-11-29T17:36:34",26277.94,88814.96,3245,4744,"MWLR30722","Mock","nuclei","023","mock negative","Mock_023","11_WTA_Mock","bottom","Uninfected","HSV1 negative","1.23020751798212","1.53976958910109","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide5_Protein_NoMorph_ReCollect_001","001","5","5_WTA","5_WTA_final","Full ROI",49048.06,NA,259,8620.2666015625,21539.56640625,"2023-11-29T17:02:14",26284.86,46426.96,3241,1362,"MWLR30722","HSV","tract","001","positive","HSV_001","5_WTA_HSV","top","Infected","HSV1 positive","1.21453525295359","1.46618717066387","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
"Slide5_Protein_NoMorph_ReCollect_002","002","5","5_WTA","5_WTA_final","Full ROI",49048.06,NA,262,9178.7646484375,22027.90234375,"2023-11-29T17:02:14",26284.86,46426.96,3241,1362,"MWLR30722","HSV","tract","002","positive","HSV_002","5_WTA_HSV","top","Infected","HSV1 positive","1.1786788313731","1.42630896055526","c(2.61089228662899",2.39785382715719,2.80283582749715,3.30318375014182,3.03827263670664,4.18313752268618,4.02374141733576,4.14162072337623,4.04918928295859,3.57829282422208,"4.26317596500625, 41.1153156357205, 3.66050947347625, 3.35217184585475, 3.13517664881875, 3.16432400586531, 3.05928484477052, 3.00256262489088, 4.43767724450266, 5.10644338691671, 5.0067383587882, 4.03201747349327, 21.2447114169284, 5.14646706803589, 5.1151730703018, 6.19929916121876, 5.23645656424245, 5.19903263385549,"
