names,scores,logfoldchanges,pvals,pvals_adj,cluster,comparison
Arfgef1,3.5693734,1.1589878,0.00035783620114993915,0.03879936014757684,Infiltrating Macrophages,HSV1_vs_Mock
Psme2,3.5516217,2.5791383,0.0003828647663502553,0.04126456844034877,Infiltrating Macrophages,HSV1_vs_Mock
Clic4,3.5187485,1.576493,0.00043358741391521675,0.0455982982663088,Infiltrating Macrophages,HSV1_vs_Mock
Rnase4,-3.5016544,-1.3851889,0.0004623787919023206,0.0478296314681027,Infiltrating Macrophages,HSV1_vs_Mock
Nfia,-3.5069141,-1.1942,0.00045333526613349645,0.04716521072333412,Infiltrating Macrophages,HSV1_vs_Mock
Serinc3,-3.5174336,-0.6251807,0.00043574128017140475,0.0455982982663088,Infiltrating Macrophages,HSV1_vs_Mock
Sh3kbp1,-3.5233507,-0.903382,0.0004261269042533277,0.04511681264503321,Infiltrating Macrophages,HSV1_vs_Mock
Tbc1d5,-3.5404449,-0.5079824,0.0003994530456536563,0.04254293117585893,Infiltrating Macrophages,HSV1_vs_Mock
Kansl1,-3.5424173,-0.74965495,0.0003964777420337901,0.042477398088489215,Infiltrating Macrophages,HSV1_vs_Mock
Ccnd3,-3.5904121,-0.88484776,0.00033015546358647465,0.03668190240180838,Infiltrating Macrophages,HSV1_vs_Mock
Hdac9,-3.6055338,-0.9666367,0.00031151187831487053,0.035043139361183466,Infiltrating Macrophages,HSV1_vs_Mock
Otulinl,-3.6180258,-1.0863622,0.00029685895618213433,0.033817495900773646,Infiltrating Macrophages,HSV1_vs_Mock
Rhob,-3.6193407,-0.9547072,0.00029535467789205727,0.033817495900773646,Infiltrating Macrophages,HSV1_vs_Mock
Wdfy3,-3.6574736,-0.6986937,0.0002547135581287252,0.029770060602330683,Infiltrating Macrophages,HSV1_vs_Mock
Kctd12,-3.6719377,-1.156163,0.0002407183341216155,0.028693306595065946,Infiltrating Macrophages,HSV1_vs_Mock
Zfp644,-3.6804848,-1.3507383,0.00023279095992917976,0.02812083548835776,Infiltrating Macrophages,HSV1_vs_Mock
Colec12,-3.6844296,-1.5745949,0.00022921540199082757,0.02787600013806017,Infiltrating Macrophages,HSV1_vs_Mock
Ivns1abp,-3.7153304,-1.0291605,0.00020293836366075,0.02484821501720979,Infiltrating Macrophages,HSV1_vs_Mock
Fgd4,-3.7357118,-1.1327442,0.00018718497513561447,0.023235464603213275,Infiltrating Macrophages,HSV1_vs_Mock
Btg2,-3.752806,-1.2038387,0.00017486629206916378,0.0220099188178523,Infiltrating Macrophages,HSV1_vs_Mock
Mir99ahg,-3.825127,-1.1487895,0.0001307047399362982,0.01692485333894555,Infiltrating Macrophages,HSV1_vs_Mock
Fli1,-3.8363037,-0.83924687,0.00012489989165949102,0.016529949632199843,Infiltrating Macrophages,HSV1_vs_Mock
Pf4,-3.842221,-1.5227703,0.00012192598697875386,0.016255895108374746,Infiltrating Macrophages,HSV1_vs_Mock
Slc12a6,-3.888901,-0.8965925,0.00010069920781846034,0.013880478401469854,Infiltrating Macrophages,HSV1_vs_Mock
Atp6v0b,-3.924404,-0.9657312,8.694471991476085e-05,0.01222592198238891,Infiltrating Macrophages,HSV1_vs_Mock
Cd14,-3.9743712,-1.80132,7.056541065796798e-05,0.010383264879615616,Infiltrating Macrophages,HSV1_vs_Mock
Maf,-3.9750288,-1.1963004,7.03707545528678e-05,0.010383264879615616,Infiltrating Macrophages,HSV1_vs_Mock
Ulk2,-3.9875205,-1.1005825,6.676741675528118e-05,0.010014556118152551,Infiltrating Macrophages,HSV1_vs_Mock
Jun,-4.00067,-1.222713,6.316342980301927e-05,0.0096345641781741,Infiltrating Macrophages,HSV1_vs_Mock
P2rx7,-4.04472,-1.3015807,5.238570457848328e-05,0.008199046058331484,Infiltrating Macrophages,HSV1_vs_Mock
Ints6l,-4.070361,-1.2273297,4.694032904832857e-05,0.007476805155228902,Infiltrating Macrophages,HSV1_vs_Mock
Zdhhc14,-4.1183558,-1.2921271,3.8158497281131715e-05,0.0062437708414826345,Infiltrating Macrophages,HSV1_vs_Mock
Agmo,-4.1380796,-1.337265,3.502244482654239e-05,0.005836749855860523,Infiltrating Macrophages,HSV1_vs_Mock
C1qb,-4.199224,-0.69540095,2.6783120525906767e-05,0.004591137012817104,Infiltrating Macrophages,HSV1_vs_Mock
Prkn,-4.2071137,-1.3126086,2.5865310873169194e-05,0.004476439715443965,Infiltrating Macrophages,HSV1_vs_Mock
Hexb,-4.216318,-0.9620234,2.4832338830463367e-05,0.004339390937956409,Infiltrating Macrophages,HSV1_vs_Mock
Atxn1,-4.222235,-1.4520473,2.4189139041936034e-05,0.004268434447213791,Infiltrating Macrophages,HSV1_vs_Mock
Abca1,-4.303761,-1.3497988,1.67922912424046e-05,0.0030529742431519235,Infiltrating Macrophages,HSV1_vs_Mock
Jund,-4.303761,-1.4498122,1.67922912424046e-05,0.0030529742431519235,Infiltrating Macrophages,HSV1_vs_Mock
St3gal6,-4.339264,-1.3693757,1.4296074169519027e-05,0.0026527323605894117,Infiltrating Macrophages,HSV1_vs_Mock
Lyz2,-4.3852863,-1.2293142,1.1583325645603056e-05,0.0022418094440345097,Infiltrating Macrophages,HSV1_vs_Mock
Mertk,-4.3997507,-1.1517222,1.0837533708464907e-05,0.0021202692306376072,Infiltrating Macrophages,HSV1_vs_Mock
Trf,-4.4549775,-1.331461,8.39019385298281e-06,0.0016779455462204178,Infiltrating Macrophages,HSV1_vs_Mock
Rnf150,-4.4674697,-1.321093,7.915030624919794e-06,0.0016188935933855837,Infiltrating Macrophages,HSV1_vs_Mock
Siglech,-4.5904155,-1.5027652,4.423650025108787e-06,0.000982978725949791,Infiltrating Macrophages,HSV1_vs_Mock
Qk,-4.5910726,-0.79650235,4.409736110446022e-06,0.000982978725949791,Infiltrating Macrophages,HSV1_vs_Mock
Hpgd,-4.630521,-1.6216131,3.647475072799549e-06,0.0008638276820436723,Infiltrating Macrophages,HSV1_vs_Mock
Zfp36l1,-4.730455,-1.3845954,2.2401701148635666e-06,0.0005448759715868829,Infiltrating Macrophages,HSV1_vs_Mock
F13a1,-4.757411,-1.7752627,1.9609148281473394e-06,0.0004834863834496433,Infiltrating Macrophages,HSV1_vs_Mock
C1qc,-4.7659583,-1.0118493,1.879582058793495e-06,0.0004698694093920016,Infiltrating Macrophages,HSV1_vs_Mock
Cfh,-4.7751627,-1.0923723,1.7956200165800253e-06,0.0004552023194144208,Infiltrating Macrophages,HSV1_vs_Mock
Hpgds,-4.777135,-1.2270436,1.778103033527813e-06,0.0004552023194144208,Infiltrating Macrophages,HSV1_vs_Mock
Lrp6,-4.804091,-1.3331789,1.554560049420217e-06,0.000411478328375213,Infiltrating Macrophages,HSV1_vs_Mock
Selenop,-4.8455114,-1.3032967,1.2628596323605774e-06,0.00034439712913421263,Infiltrating Macrophages,HSV1_vs_Mock
C1qa,-4.8908763,-0.9482995,1.0038797692563977e-06,0.0002842178419988373,Infiltrating Macrophages,HSV1_vs_Mock
Ctsd,-4.891534,-1.117692,1.0005316098958699e-06,0.0002842178419988373,Infiltrating Macrophages,HSV1_vs_Mock
Gm5086,-4.9119153,-1.9730777,9.019102320781967e-07,0.0002661226601176305,Infiltrating Macrophages,HSV1_vs_Mock
Cd163,-4.9211197,-1.8813748,8.605044266661229e-07,0.00026250868489029433,Infiltrating Macrophages,HSV1_vs_Mock
Mctp1,-5.00396,-1.409162,5.616433599852282e-07,0.0001907362044598891,Infiltrating Macrophages,HSV1_vs_Mock
Ssh2,-5.093375,-1.1610105,3.5174422941710696e-07,0.00012920498745466345,Infiltrating Macrophages,HSV1_vs_Mock
Csf1r,-5.103237,-0.9822962,3.338917618782936e-07,0.00012520245462598764,Infiltrating Macrophages,HSV1_vs_Mock
Itm2b,-5.1288786,-1.0731192,2.9147341009326615e-07,0.00011404847626671082,Infiltrating Macrophages,HSV1_vs_Mock
Dab2,-5.2491946,-1.4019412,1.527657704172527e-07,6.706417321317394e-05,Infiltrating Macrophages,HSV1_vs_Mock
Wwp1,-5.3333497,-1.5638595,9.641729026751081e-08,4.566881072434019e-05,Infiltrating Macrophages,HSV1_vs_Mock
Mrc1,-5.387262,-1.901154,7.153914401531741e-08,3.576758480921384e-05,Infiltrating Macrophages,HSV1_vs_Mock
Sbf2,-5.442489,-1.4072899,5.254123022002553e-08,2.865726068879514e-05,Infiltrating Macrophages,HSV1_vs_Mock
AC149090.1,-5.506263,-1.3931243,3.665309413125666e-08,2.12812593957577e-05,Infiltrating Macrophages,HSV1_vs_Mock
Snx29,-5.703502,-1.5442815,1.1737051012284184e-08,7.824265969263074e-06,Infiltrating Macrophages,HSV1_vs_Mock
Pde4d,-5.7554417,-2.0899842,8.641544368150571e-09,6.2215662832936854e-06,Infiltrating Macrophages,HSV1_vs_Mock
Abca9,-6.2353907,-1.5744071,4.50651677408829e-10,4.19417288376715e-07,Infiltrating Macrophages,HSV1_vs_Mock
Slc9a9,-6.323491,-1.5196791,2.557191216689998e-10,2.707463806423722e-07,Infiltrating Macrophages,HSV1_vs_Mock
Fcrls,-6.3543916,-1.890539,2.0925286083075992e-10,2.35396390130803e-07,Infiltrating Macrophages,HSV1_vs_Mock
Cst3,-6.467476,-0.74418443,9.965358825746281e-11,1.1957766233640488e-07,Infiltrating Macrophages,HSV1_vs_Mock
Stab1,-7.150581,-2.2261086,8.64113783290205e-13,1.7281315539378222e-09,Infiltrating Macrophages,HSV1_vs_Mock
Apoe,-7.7179728,-2.525811,1.1819457479567226e-14,5.318460379368263e-11,Infiltrating Macrophages,HSV1_vs_Mock
Gm42418,12.059765,1.0105956,1.7227401512803494e-33,3.100759998289501e-29,Mitochondrial-Activated Microglia,HSV1_vs_Mock
Camk1d,10.152587,1.3210542,3.2269519732565184e-24,2.904095428332204e-20,Mitochondrial-Activated Microglia,HSV1_vs_Mock
Lars2,6.311972,1.6698452,2.7550147304677204e-10,1.2396877533422124e-06,Mitochondrial-Activated Microglia,HSV1_vs_Mock
Cmss1,5.9103975,1.1512486,3.412826802056217e-09,1.2285493922041969e-05,Mitochondrial-Activated Microglia,HSV1_vs_Mock
Tyrobp,-4.148962,-1.0744586,3.339863902538264e-05,0.0462417002936817,Mitochondrial-Activated Microglia,HSV1_vs_Mock
Ifitm10,-4.4180436,-1.1925408,9.959843204780944e-06,0.014938934820237683,Mitochondrial-Activated Microglia,HSV1_vs_Mock
Hexb,-4.4777856,-0.42607313,7.542124196022844e-06,0.012340972127655924,Mitochondrial-Activated Microglia,HSV1_vs_Mock
Csf1r,-4.728318,-0.7146592,2.2638721736075287e-06,0.00407474352527619,Mitochondrial-Activated Microglia,HSV1_vs_Mock
Rpl10,-4.81215,-1.6680981,1.4931506704586886e-06,0.002986135435287326,Mitochondrial-Activated Microglia,HSV1_vs_Mock
Atp6v0b,-5.0026994,-1.1951685,5.653305830969341e-07,0.0012719231456452147,Mitochondrial-Activated Microglia,HSV1_vs_Mock
Sparc,-5.299725,-0.9827303,1.1597730337655242e-07,0.0002982107833535096,Mitochondrial-Activated Microglia,HSV1_vs_Mock
C1qc,-5.5644703,-1.0110829,2.629500033376906e-08,7.888061850125155e-05,Mitochondrial-Activated Microglia,HSV1_vs_Mock
Cst3,-8.007402,-0.64938295,1.1715654905666868e-15,7.0290024215699314e-12,Mitochondrial-Activated Microglia,HSV1_vs_Mock
Gm42418,9.806755,1.0081604,1.0529993908197491e-22,1.8952936035364665e-18,Primed Microglia,HSV1_vs_Mock
Camk1d,7.509023,1.1467028,5.957013878580841e-14,5.361014640028828e-10,Primed Microglia,HSV1_vs_Mock
mt-Co2,4.410651,0.9981464,1.0306010768867076e-05,0.026499698261262642,Primed Microglia,HSV1_vs_Mock
Selplg,-4.526078,-1.3821138,6.008829057710149e-06,0.018025485701620828,Primed Microglia,HSV1_vs_Mock
Pias1,-4.645396,-1.6628432,3.3942438497356864e-06,0.012218599010278523,Primed Microglia,HSV1_vs_Mock
Gpr34,-4.7884912,-1.4932501,1.680400122506671e-06,0.007561380451249393,Primed Microglia,HSV1_vs_Mock
Trem2,-5.2281513,-1.6640232,1.7121343753029174e-07,0.0010272235540359068,Primed Microglia,HSV1_vs_Mock
Camk1d,15.371712,0.68946296,2.533852548507005e-53,4.560681202057758e-49,Transiently Activated Microglia,HSV1_vs_Mock
Gm42418,14.470986,0.34682027,1.8480373674251762e-47,1.6631412288142874e-43,Transiently Activated Microglia,HSV1_vs_Mock
H2-K1,11.007609,1.7183083,3.5120059510589467e-28,2.1070865037703327e-24,Transiently Activated Microglia,HSV1_vs_Mock
H2-D1,10.301089,1.4245182,6.966806867701764e-25,3.134888920294101e-21,Transiently Activated Microglia,HSV1_vs_Mock
B2m,9.996069,0.7979974,1.5856721182872367e-23,5.708102491410394e-20,Transiently Activated Microglia,HSV1_vs_Mock
Btg1,7.737274,0.7295139,1.0157080527890993e-14,2.611675606021571e-11,Transiently Activated Microglia,HSV1_vs_Mock
Stat1,7.68596,1.7285231,1.5185426713929323e-14,3.416531192800174e-11,Transiently Activated Microglia,HSV1_vs_Mock
Cmss1,6.986711,0.5270666,2.814049089783954e-12,5.065006956702138e-09,Transiently Activated Microglia,HSV1_vs_Mock
Ly6e,6.3065753,0.7810618,2.8527680814288417e-10,4.27891439146981e-07,Transiently Activated Microglia,HSV1_vs_Mock
Nlrc5,6.27749,3.3370874,3.440815700050909e-10,4.7639416757858705e-07,Transiently Activated Microglia,HSV1_vs_Mock
4933406I18Rik,6.0371222,0.33442727,1.5688677577930794e-09,2.0170036266084023e-06,Transiently Activated Microglia,HSV1_vs_Mock
E230029C05Rik,5.795674,0.40013677,6.804732780550223e-09,7.2046109010072625e-06,Transiently Activated Microglia,HSV1_vs_Mock
Cacnb2,5.5563865,0.4871703,2.7541698501052903e-08,2.7540168406691733e-05,Transiently Activated Microglia,HSV1_vs_Mock
Ly86,5.5416775,0.37575722,2.995876506438941e-08,2.8380411178628688e-05,Transiently Activated Microglia,HSV1_vs_Mock
Lars2,5.43319,0.62732095,5.5355443700514565e-08,4.981713155827808e-05,Transiently Activated Microglia,HSV1_vs_Mock
Ccl12,5.0080895,1.9264998,5.497294637395252e-07,0.0003957832247139086,Transiently Activated Microglia,HSV1_vs_Mock
Epsti1,4.886098,0.6282692,1.028539411939964e-06,0.0006856548472410153,Transiently Activated Microglia,HSV1_vs_Mock
Parp14,4.640121,1.0172533,3.4820550162530125e-06,0.0021611554564668267,Transiently Activated Microglia,HSV1_vs_Mock
Lgals3bp,4.557062,1.9827262,5.1874127529465375e-06,0.003112274738009491,Transiently Activated Microglia,HSV1_vs_Mock
Fkbp5,4.3757367,0.4059134,1.2102298172544219e-05,0.0057323490738848265,Transiently Activated Microglia,HSV1_vs_Mock
Nlrp1b,4.290808,0.6231205,1.7802407366355783e-05,0.007815256833830189,Transiently Activated Microglia,HSV1_vs_Mock
Cd74,4.269119,1.6978585,1.9624662019908084e-05,0.008410102183245848,Transiently Activated Microglia,HSV1_vs_Mock
Mitf,4.139191,0.41822773,3.48532105955355e-05,0.014257339488841897,Transiently Activated Microglia,HSV1_vs_Mock
Samhd1,4.0784864,0.7556512,4.532983109768777e-05,0.01813092510949516,Transiently Activated Microglia,HSV1_vs_Mock
Hspa1b,4.0172,0.6489335,5.889375347767846e-05,0.023044101496624666,Transiently Activated Microglia,HSV1_vs_Mock
AU020206,4.005732,0.5076069,6.182569622494515e-05,0.023183348049016412,Transiently Activated Microglia,HSV1_vs_Mock
Ptprj,3.9317312,0.25138536,8.433635640328984e-05,0.029191732286592578,Transiently Activated Microglia,HSV1_vs_Mock
Maml2,3.857024,0.29452664,0.000114775971379332,0.03825653164549253,Transiently Activated Microglia,HSV1_vs_Mock
Rnf213,3.8320522,0.8220867,0.00012707878766994384,0.04084448391555927,Transiently Activated Microglia,HSV1_vs_Mock
Herc6,3.8160553,0.72425824,0.000135602112870027,0.0425080425712701,Transiently Activated Microglia,HSV1_vs_Mock
Mctp1,3.8135624,0.32527587,0.00013697796928349717,0.0425080425712701,Transiently Activated Microglia,HSV1_vs_Mock
Camk1,-3.7836876,-0.57195663,0.00015452169171156305,0.04635393215194039,Transiently Activated Microglia,HSV1_vs_Mock
Ulk2,-3.8032994,-0.28531724,0.00014278161485057903,0.043558072638908,Transiently Activated Microglia,HSV1_vs_Mock
Hpgd,-3.8517053,-0.43453458,0.00011729807853080404,0.038386329372289855,Transiently Activated Microglia,HSV1_vs_Mock
Tyrobp,-3.913075,-0.3966767,9.112818266897437e-05,0.030947474714318298,Transiently Activated Microglia,HSV1_vs_Mock
Plekho1,-3.9577,-0.47308457,7.567491016386635e-05,0.026707308000773144,Transiently Activated Microglia,HSV1_vs_Mock
Slc15a2,-3.967049,-0.85800076,7.276808968826271e-05,0.026707308000773144,Transiently Activated Microglia,HSV1_vs_Mock
Itm2b,-4.0094714,-0.25301692,6.08547714997357e-05,0.023183348049016412,Transiently Activated Microglia,HSV1_vs_Mock
Slc12a6,-4.1453824,-0.29748443,3.3924712278105335e-05,0.014200253402177159,Transiently Activated Microglia,HSV1_vs_Mock
Ltc4s,-4.311209,-0.6338897,1.6236412950812012e-05,0.0073059799175416345,Transiently Activated Microglia,HSV1_vs_Mock
Arhgap45,-4.326001,-0.3569034,1.518406111201217e-05,0.007007638870643771,Transiently Activated Microglia,HSV1_vs_Mock
Rps29,-4.403742,-0.44567782,1.0639964860270168e-05,0.005175911554594669,Transiently Activated Microglia,HSV1_vs_Mock
Selplg,-4.4084783,-0.28571558,1.04099417602772e-05,0.005175911554594669,Transiently Activated Microglia,HSV1_vs_Mock
Otulinl,-4.4488235,-0.36430413,8.634187853366669e-06,0.004440192776364191,Transiently Activated Microglia,HSV1_vs_Mock
Selenop,-4.48277,-0.39448377,7.3680275071860935e-06,0.003900503738289485,Transiently Activated Microglia,HSV1_vs_Mock
Trem2,-4.5072846,-0.4350683,6.56624760028949e-06,0.003581390622957895,Transiently Activated Microglia,HSV1_vs_Mock
Mir142hg,-4.539611,-0.4827396,5.635814340953409e-06,0.0032682165375358717,Transiently Activated Microglia,HSV1_vs_Mock
Atp6v0b,-4.859049,-0.35751975,1.1795097049668686e-06,0.0007582141135606666,Transiently Activated Microglia,HSV1_vs_Mock
Gpr34,-4.888508,-0.41086954,1.0160303980764867e-06,0.0006856548472410153,Transiently Activated Microglia,HSV1_vs_Mock
mt-Co1,-5.059944,-0.32916433,4.19379043387773e-07,0.0003145168084140219,Transiently Activated Microglia,HSV1_vs_Mock
Apoe,-5.175703,-1.0176831,2.2705418451204097e-07,0.00017768470726227067,Transiently Activated Microglia,HSV1_vs_Mock
Man2b1,-5.191783,-0.53808194,2.0828955600088274e-07,0.00017040925992999493,Transiently Activated Microglia,HSV1_vs_Mock
P2ry12,-5.3236217,-0.25707927,1.0172119522965587e-07,8.71847520446941e-05,Transiently Activated Microglia,HSV1_vs_Mock
Fcrls,-5.849814,-0.45175904,4.921231595961238e-09,5.536077968481645e-06,Transiently Activated Microglia,HSV1_vs_Mock
AY036118,-6.023037,-0.26075718,1.7117448197501024e-09,2.0539796673788065e-06,Transiently Activated Microglia,HSV1_vs_Mock
Rpl10,-6.9084306,-1.0514288,4.900450913223952e-12,8.018474180647084e-09,Transiently Activated Microglia,HSV1_vs_Mock
Sparc,-7.4132657,-0.45735866,1.232267112608911e-13,2.4643973066497547e-10,Transiently Activated Microglia,HSV1_vs_Mock
Cst3,-7.946895,-0.30849802,1.9124419645911393e-15,5.7370071534459855e-12,Transiently Activated Microglia,HSV1_vs_Mock
