"Pathway","Infiltrating_Macrophages_UP","Homeostatic_Microglia_UP","Transiently_Activated_Microglia_UP","Infiltrating_Macrophages_DOWN","Homeostatic_Microglia_DOWN","Transiently_Activated_Microglia_DOWN","IFN_Responsive_Microglia_UP"
"cytokine-mediated signaling pathway [GO_BP]",8,2.76327753106712,2.70451345131997,0,0,0,8
"cytosolic pattern recognition receptor signaling pathway [GO_BP]",6.24637257067125,0,0,0,0,0,8
"defense response to Gram-negative bacterium [GO_BP]",1.5829469870079,0,0,0,0,0,3.17356848052958
"defense response to Gram-positive bacterium [GO_BP]",6.78015861682475,3.0264976043755,2.20586072946622,0,0,0,8
"defense response to bacterium [GO_BP]",8,2.83554824816518,2.17713627341487,1.96615072624667,0,0,8
"defense response to protozoan [GO_BP]",4.05894684133391,0,0,0,0,0,6.80987181671387
"defense response to symbiont [GO_BP]",8,0,0,0,0,0,8
"defense response to virus [GO_BP]",8,0,0,0,0,0,8
"dendritic cell antigen processing and presentation [GO_BP]",1.90391855372944,0,0,0,0,0,3.39151157419201
"dendritic spine maintenance [GO_BP]",0,0,0,0,1.72095286174281,1.30346061660998,0
"deoxyribonucleotide catabolic process [GO_BP]",1.40641823941878,0,0,0,0,0,0
"deoxyribose phosphate catabolic process [GO_BP]",1.43970840503457,0,0,0,0,0,0
"disruption of anatomical structure in another organism [GO_BP]",4.51960280449832,0,0,0,0,0,3.74726106983723
"disruption of cell in another organism [GO_BP]",4.58774847096863,0,0,0,0,0,3.84819272080458
"endolysosomal toll-like receptor signaling pathway [GO_BP]",0,0,0,0,0,0,1.96911126246436
"endoplasmic reticulum calcium ion homeostasis [GO_BP]",0,0,0,0,0,0,1.83965696869259
"endoplasmic reticulum unfolded protein response [GO_BP]",0,0,0,0,0,0,1.95973811590793
"entry into host [GO_BP]",2.74268843908399,1.34901560226108,1.31923391640778,0,0,0,2.04311318065703
"erythrocyte differentiation [GO_BP]",0,0,0,0,0,0,2.12768734369188
"erythrocyte homeostasis [GO_BP]",0,0,0,0,0,0,1.94851483159491
"establishment of apical/basal cell polarity [GO_BP]",0,0,0,0,0,0,1.36482107823585
"establishment of cell polarity [GO_BP]",0,0,0,0,0,0,1.85008481107999
"establishment of epithelial cell apical/basal polarity [GO_BP]",0,0,0,0,0,0,1.57765899631303
"establishment of protein localization to organelle [GO_BP]",0,0,0,0,0,0,2.20323473138889
"establishment of protein localization to vacuole [GO_BP]",0,0,0,0,0,0,1.52957956286532
"establishment or maintenance of cell polarity [GO_BP]",0,0,0,0,0,0,1.80324046870427
"exocytosis [GO_BP]",0,0,0,0,0,0,2.04808385935218
"extrinsic apoptotic signaling pathway [GO_BP]",0,0,0,0,0,0,2.20323473138889
"fibroblast migration [GO_BP]",0,0,0,0,0,0,1.36377326197639
"fructose 6-phosphate metabolic process [GO_BP]",1.82753309301066,0,0,0,0,0,0
"glial cell activation [GO_BP]",0,0,0,0,1.50145817905078,0,2.38416520814421
"glial cell migration [GO_BP]",0,0,0,0,1.36206721619296,0,0
"gliogenesis [GO_BP]",0,0,0,1.3466169718481,0,0,1.32415678293709
"granulocyte chemotaxis [GO_BP]",2.29987434424312,1.9787501493158,2.70451345131997,0,0,0,2.07285623216815
"granulocyte differentiation [GO_BP]",0,0,0,0,0,0,1.37696968026528
"granulocyte migration [GO_BP]",1.94754611058129,1.8619602459259,2.48117911164268,0,0,0,1.60626949732882
"hematopoietic progenitor cell differentiation [GO_BP]",1.76703379859077,0,0,0,0,0,2.29102406472937
"hematopoietic stem cell proliferation [GO_BP]",3.24619615230637,0,0,0,0,0,0
"hemostasis [GO_BP]",0,0,0,0,0,0,1.45119749628635
"heterocycle catabolic process [GO_BP]",0,0,0,0,0,0,1.86463248360799
"homeostasis of number of cells [GO_BP]",0,0,0,0,0,0,2.96298250346101
"humoral immune response [GO_BP]",3.56991179061732,1.86494136950159,1.86420645238016,2.3791516239122,1.72095286174281,0,0
"humoral immune response mediated by circulating immunoglobulin [GO_BP]",0,0,0,1.46484803798383,2.87085560361878,0,0
"hypersensitivity [GO_BP]",2.56635656863114,2.11648824734462,2.14252269365884,0,0,0,3.24052841461959
"immune response-activating cell surface receptor signaling pathway [GO_BP]",0,0,0,0,0,0,1.37696968026528
"immune response-activating signaling pathway [GO_BP]",5.35960832772815,0,0,0,0,0,8
"immune response-regulating cell surface receptor signaling pathway [GO_BP]",0,0,0,0,0,0,1.31087135749147
"immune response-regulating signaling pathway [GO_BP]",5.26269861456882,0,0,0,0,0,8
"immune system development [GO_BP]",2.62765938814533,0,1.5169668646281,0,0,0,2.91612597344247
"immunoglobulin mediated immune response [GO_BP]",4.487498050728,1.87125059606266,1.87037588381952,0,1.72095286174281,0,2.70476036655624
"immunoglobulin production [GO_BP]",3.60177539666255,0,1.87230496801089,0,0,0,2.72495000164002
"immunoglobulin production involved in immunoglobulin-mediated immune response [GO_BP]",1.34013735666989,0,0,0,0,0,0
"import into nucleus [GO_BP]",0,0,0,0,0,0,2.00437688163792
"inflammasome-mediated signaling pathway [GO_BP]",4.01504113605561,0,0,0,0,0,5.65040874558466
"inflammatory response to antigenic stimulus [GO_BP]",1.42898289775628,1.5702166424146,1.54461365962182,0,0,0,2.07684440234174
"innate immune response activating cell surface receptor signaling pathway [GO_BP]",0,0,0,0,1.33017363939592,0,0
"innate immune response-activating signaling pathway [GO_BP]",5.39007408016839,0,0,0,1.43273552627307,0,8
"inorganic ion homeostasis [GO_BP]",0,0,0,0,0,0,1.80379343321638
"interferon-alpha production [GO_BP]",4.42645531345407,1.88858038813209,0,0,0,0,3.30652099476528
"interferon-beta production [GO_BP]",2.2630909239731,0,0,0,0,0,1.37696968026528
"interferon-mediated signaling pathway [GO_BP]",8,2.28388719841325,3.12656450152301,0,0,0,7.26960520261647
"interleukin-1 beta production [GO_BP]",0,0,0,0,0,0,4.16065548761366
"interleukin-1 production [GO_BP]",0,0,0,0,0,0,4.35064410099031
"interleukin-10 production [GO_BP]",0,0,0,0,1.45843903881408,0,1.58346992289022
"interleukin-12 production [GO_BP]",0,0,0,0,0,0,1.55777278755869
"interleukin-13 production [GO_BP]",2.27703899065846,1.9787501493158,1.98034213575324,0,0,0,0
"interleukin-4 production [GO_BP]",1.80801722378306,1.77576410448083,1.77275526272501,0,0,0,0
"interleukin-6 production [GO_BP]",0,0,0,0,0,0,2.25027193974121
"interleukin-8 production [GO_BP]",0,0,0,0,0,0,1.36377326197639
"intracellular calcium ion homeostasis [GO_BP]",0,0,0,0,0,0,2.05635513340268
"intracellular monoatomic cation homeostasis [GO_BP]",0,0,0,0,0,0,1.77053230623352
"intracellular monoatomic ion homeostasis [GO_BP]",0,0,0,0,0,0,1.69604079077359
"intracellular receptor signaling pathway [GO_BP]",4.48906376980748,0,0,0,0,0,8
"intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO_BP]",0,0,0,0,0,0,1.5028481541782
"killing of cells of another organism [GO_BP]",4.58774847096863,0,0,0,0,0,3.84819272080458
"learning or memory [GO_BP]",0,0,0,0,1.33017363939592,0,0
"leukocyte activation involved in immune response [GO_BP]",0,0,0,0,0,0,3.37925114932231
"leukocyte activation involved in inflammatory response [GO_BP]",0,0,0,0,1.50822181639152,0,2.60271198249686
"leukocyte cell-cell adhesion [GO_BP]",5.55570986570293,1.59751850050907,1.58190092933821,0,0,0,5.94466070693989
"leukocyte chemotaxis [GO_BP]",1.37053552130911,1.56904449313524,2.21235826312902,0,0,0,0
"leukocyte degranulation [GO_BP]",0,0,0,0,0,0,1.80045460857832
"leukocyte mediated cytotoxicity [GO_BP]",3.71619723619754,1.90778201586962,1.90698694869934,0,0,0,6.33142421210911
"leukocyte mediated immunity [GO_BP]",4.30783925587919,1.61623607117348,1.60692819139349,0,1.64933055720292,0,7.9773379490143
"leukocyte migration [GO_BP]",0,1.71820679482216,1.71501314638666,0,0,0,2.00389016918559
"leukocyte proliferation [GO_BP]",3.24226222343294,1.68589360971434,1.68169604666374,0,0,0,5.57345060142143
"lipopolysaccharide-mediated signaling pathway [GO_BP]",1.49053329456257,1.60410060697066,1.58869964153092,0,1.45697927085006,0,2.95006333703062
"lymphocyte activation involved in immune response [GO_BP]",0,0,0,0,0,0,2.16558751190433
"lymphocyte differentiation [GO_BP]",1.60278580759947,0,0,0,0,0,4.80217394312612
"lymphocyte mediated immunity [GO_BP]",5.36179360608853,1.89078843184792,1.89004102050954,0,0,0,6.38433684506317
"lymphocyte proliferation [GO_BP]",2.93999651633565,0,0,0,0,0,4.64315470510182
"mRNA catabolic process [GO_BP]",0,0,0,0,0,0,2.14383755836641
"macroautophagy [GO_BP]",0,0,0,0,0,0,2.86158932080083
"macrophage activation [GO_BP]",0,0,0,0,0,0,3.77128382125874
"macrophage activation involved in immune response [GO_BP]",0,0,0,0,1.92690745809323,1.48520822185471,0
"macrophage migration [GO_BP]",0,0,0,0,1.41991526305503,0,0
"maintenance of location [GO_BP]",1.70062401207123,0,0,0,0,0,3.5805008280596
"maintenance of location in cell [GO_BP]",1.90733829153713,0,0,0,0,0,3.95405322781836
"maintenance of protein localization in organelle [GO_BP]",0,0,0,0,0,0,2.04808385935218
"maintenance of protein location in cell [GO_BP]",0,0,0,0,0,0,1.32343178354522
"membrane depolarization [GO_BP]",0,0,1.44587721951252,0,0,0,0
"miRNA metabolic process [GO_BP]",0,0,0,0,0,0,1.36444057552901
"miRNA processing [GO_BP]",0,0,0,0,0,0,1.32438397366979
"microglia differentiation [GO_BP]",0,0,0,0,0,0,1.86326672010466
"microglial cell activation [GO_BP]",0,0,0,0,1.53847385057991,0,2.73321616054588
"microtubule depolymerization [GO_BP]",0,0,0,0,0,0,1.66312000484144
"microtubule polymerization or depolymerization [GO_BP]",0,0,0,0,0,0,1.31489359587839
"mitochondrial fission [GO_BP]",0,0,0,0,0,0,1.86368831801824
"mitochondrion disassembly [GO_BP]",0,0,0,0,0,0,1.47463079419898
"mitophagy [GO_BP]",0,0,0,0,0,0,1.37696968026528
"modulation by host of symbiont process [GO_BP]",0,0,0,1.46973425959099,0,0,0
"modulation by symbiont of entry into host [GO_BP]",3.66304607408419,1.66145392997405,1.65633260377889,0,0,0,1.76568027575956
"monoatomic cation homeostasis [GO_BP]",0,0,0,0,0,0,1.61376082171624
"monoatomic ion homeostasis [GO_BP]",0,0,0,0,0,0,1.55777278755869
"mononuclear cell differentiation [GO_BP]",1.41643101088508,0,0,0,0,0,5.16869660950889
"mononuclear cell migration [GO_BP]",0,0,0,0,0,0,1.60049306817382
"mononuclear cell proliferation [GO_BP]",2.89075461592763,0,0,0,0,0,5.63270820677197
"movement in host [GO_BP]",2.34391059525316,0,0,0,0,0,1.60626949732882
"multicellular organismal-level iron ion homeostasis [GO_BP]",1.30914268264865,0,0,0,0,0,0
"myeloid cell differentiation [GO_BP]",0,0,1.49016520563225,1.46484803798383,0,0,4.40294198539476
"myeloid cell homeostasis [GO_BP]",0,0,0,0,0,0,2.64960297379864
"myeloid leukocyte activation [GO_BP]",0,0,0,0,0,0,4.1449406555354
"myeloid leukocyte differentiation [GO_BP]",0,0,0,0,1.41991526305503,0,3.43822633765238
"myeloid leukocyte mediated immunity [GO_BP]",0,0,0,0,0,0,2.14985681492818
"myeloid leukocyte migration [GO_BP]",1.86044226916949,2.16030444172414,2.17358576581974,0,0,0,2.29144439988951
"natural killer cell activation [GO_BP]",4.51960280449832,1.31638354383175,0,0,0,0,3.21271619177931
"natural killer cell cytokine production [GO_BP]",2.96237907788124,2.28388719841325,2.27508968246387,0,0,0,1.70394056869901
"natural killer cell differentiation [GO_BP]",0,0,0,0,0,0,1.65702481846975
"natural killer cell mediated cytotoxicity [GO_BP]",2.89092480926038,1.4001678460563,1.37362685202337,0,0,0,3.6058057752204
"natural killer cell mediated immunity [GO_BP]",2.82885452241485,1.3781059260567,1.35266302232283,0,0,0,3.49425399416601
"natural killer cell proliferation [GO_BP]",2.39925747382626,2.02339943590745,2.04912827161612,0,0,0,2.04808385935218
"natural killer cell tolerance induction [GO_BP]",3.44159582472305,2.46860722808103,2.45156237491741,0,0,0,2.14126933174168
"ncRNA catabolic process [GO_BP]",0,0,0,0,0,0,2.08187220597516
"negative T cell selection [GO_BP]",1.71075805889104,0,0,0,0,0,0
"negative regulation of B cell proliferation [GO_BP]",0,0,0,0,0,0,1.40620992334023
"negative regulation of CD4-positive, alpha-beta T cell activation [GO_BP]",0,0,0,0,0,0,1.54829852739896
"negative regulation of NLRP3 inflammasome complex assembly [GO_BP]",1.65378731085589,0,0,0,0,0,2.84200963523283
"negative regulation of T cell activation [GO_BP]",2.11463577654482,0,0,0,0,0,1.81656414871314
"negative regulation of T cell differentiation [GO_BP]",1.64962323852911,0,0,0,0,0,0
"negative regulation of amyloid fibril formation [GO_BP]",0,0,0,0,2.0905363372623,1.61591059890302,0
"negative regulation of blood coagulation [GO_BP]",0,0,0,0,1.65727163225291,0,0
"negative regulation of canonical NF-kappaB signal transduction [GO_BP]",0,0,0,0,0,0,1.79910565382267
"negative regulation of catabolic process [GO_BP]",0,0,0,0,0,0,2.17214171330534
"negative regulation of cell activation [GO_BP]",1.34013735666989,0,0,0,2.0905363372623,0,2.40804297192288
"negative regulation of cell adhesion [GO_BP]",1.40474234905666,0,0,0,0,0,0
"negative regulation of cell development [GO_BP]",1.45082395316524,0,0,0,0,0,1.60269999367641
"negative regulation of cell killing [GO_BP]",4.31298642562447,1.86389402634815,1.86420645238016,0,0,0,6.22489597502293
"negative regulation of cell migration [GO_BP]",0,0,1.92507630466298,0,0,0,0
"negative regulation of cell motility [GO_BP]",0,0,1.89004102050954,0,0,0,0
"negative regulation of cell projection organization [GO_BP]",0,1.53484781376051,1.50086270522195,0,0,0,0
"negative regulation of cell-cell adhesion [GO_BP]",1.46722095918032,0,0,0,0,0,1.36482107823585
"negative regulation of cellular catabolic process [GO_BP]",0,0,0,0,0,0,1.88334145457343
"negative regulation of cellular senescence [GO_BP]",1.37401895059109,0,0,0,0,0,1.36482107823585
"negative regulation of coagulation [GO_BP]",0,0,0,0,1.64140038442034,0,0
"negative regulation of cytokine production [GO_BP]",1.45762738416089,0,0,0,0,0,3.84321618885527
"negative regulation of cytokine-mediated signaling pathway [GO_BP]",3.32327143085894,1.5702166424146,2.39642569720301,0,0,0,3.55531201608728
"negative regulation of defense response [GO_BP]",4.98391190208146,1.9787501493158,2.53419750883915,0,0,0,8
"negative regulation of defense response to virus [GO_BP]",1.64962323852911,0,0,0,0,0,1.79910565382267
"negative regulation of endothelial cell proliferation [GO_BP]",0,0,0,0,1.64933055720292,0,0
"negative regulation of epithelial cell proliferation [GO_BP]",0,1.84648601347151,0,0,0,0,0
"negative regulation of glycoprotein metabolic process [GO_BP]",0,0,0,0,0,1.59516008971665,0
"negative regulation of hemopoiesis [GO_BP]",1.52744948867106,0,0,0,0,0,2.07285623216815
"negative regulation of hemostasis [GO_BP]",0,0,0,0,1.65727163225291,0,0
"negative regulation of immune effector process [GO_BP]",4.63684553568562,0,0,0,0,0,5.65040874558466
"negative regulation of immune response [GO_BP]",6.12825927493047,2.28388719841325,2.95442092434043,0,0,0,6.49114476646933
"negative regulation of immune system process [GO_BP]",7.43422242415803,1.90778201586962,2.95442092434043,0,0,0,8
"negative regulation of inflammasome-mediated signaling pathway [GO_BP]",1.60278580759947,0,0,0,0,0,2.73007886637075
"negative regulation of inflammatory response [GO_BP]",0,0,0,0,0,0,2.72495000164002
"negative regulation of innate immune response [GO_BP]",5.52699445615236,2.95274026462254,3.61646176674357,0,0,0,6.26417311344952
"negative regulation of intracellular signal transduction [GO_BP]",0,0,0,0,0,0,1.99198568378919
"negative regulation of leukocyte activation [GO_BP]",1.47238793800922,0,0,0,0,0,2.73366974642127
"negative regulation of leukocyte cell-cell adhesion [GO_BP]",1.94754611058129,0,0,0,0,0,1.60626949732882
"negative regulation of leukocyte differentiation [GO_BP]",0,0,0,0,0,0,1.65871741782265
"negative regulation of leukocyte mediated cytotoxicity [GO_BP]",4.51960280449832,1.91489096497795,1.91625373569478,0,0,0,5.52866778663674
"negative regulation of leukocyte mediated immunity [GO_BP]",3.07532902915441,1.47985999657431,1.45041504634419,0,0,0,5.62782654269422
"negative regulation of leukocyte proliferation [GO_BP]",0,0,0,0,0,0,2.57108086188233
"negative regulation of lipid localization [GO_BP]",0,0,0,0,1.55995572234632,0,0
"negative regulation of locomotion [GO_BP]",0,0,1.79860012381458,0,0,0,0
"negative regulation of long-term synaptic potentiation [GO_BP]",0,0,0,0,2.05307218926228,1.61591059890302,0
"negative regulation of lymphocyte activation [GO_BP]",1.7237867144259,0,0,0,0,0,2.74264937329589
"negative regulation of lymphocyte differentiation [GO_BP]",1.52596433940668,0,0,0,0,0,0
"negative regulation of lymphocyte mediated immunity [GO_BP]",3.42182142792993,1.59592376694218,1.57783565964233,0,0,0,4.53180175837736
"negative regulation of lymphocyte proliferation [GO_BP]",0,0,0,0,0,0,2.1085933081568
"negative regulation of microtubule depolymerization [GO_BP]",0,0,0,0,0,0,1.65702481846975
"negative regulation of mononuclear cell proliferation [GO_BP]",0,0,0,0,0,0,2.08187220597516
"negative regulation of natural killer cell mediated cytotoxicity [GO_BP]",3.54848127152425,1.9787501493158,1.99432826036118,0,0,0,4.90951025944172
"negative regulation of natural killer cell mediated immunity [GO_BP]",3.50052700115299,1.9787501493158,1.98034213575324,0,0,0,4.79844551588092
"negative regulation of neuron projection development [GO_BP]",0,1.76290191012921,1.75888391891573,0,0,0,0
"negative regulation of peptidyl-tyrosine phosphorylation [GO_BP]",1.62552195305961,0,0,0,0,0,0
"negative regulation of platelet activation [GO_BP]",0,0,0,0,1.95681095883621,0,0
"negative regulation of receptor signaling pathway via JAK-STAT [GO_BP]",2.34757292184527,0,0,0,0,0,1.99191733447261
"negative regulation of receptor signaling pathway via STAT [GO_BP]",2.27703899065846,0,0,0,0,0,1.8900815934226
"negative regulation of response to biotic stimulus [GO_BP]",7.04097099795364,2.46860722808103,3.13994771134123,0,0,0,8
"negative regulation of response to cytokine stimulus [GO_BP]",3.20698520072821,1.53484781376051,2.3546276846518,0,0,0,3.38238885522395
"negative regulation of response to endoplasmic reticulum stress [GO_BP]",0,0,0,0,0,0,1.37696968026528
"negative regulation of response to external stimulus [GO_BP]",3.57945687674307,1.60702118132816,2.17713627341487,0,0,0,5.52755640477021
"negative regulation of response to wounding [GO_BP]",0,0,0,0,1.33637177979977,0,0
"negative regulation of sequestering of calcium ion [GO_BP]",2.32847504963065,0,0,0,0,0,2.11038579179631
"negative regulation of toll-like receptor signaling pathway [GO_BP]",1.43970840503457,0,0,0,0,0,0
"negative regulation of type I interferon production [GO_BP]",1.76703379859077,0,0,0,0,0,4.4943577577946
"negative regulation of type I interferon-mediated signaling pathway [GO_BP]",2.62765938814533,0,2.17310426926589,0,0,0,2.29102406472937
"negative regulation of tyrosine phosphorylation of STAT protein [GO_BP]",1.76895189210162,0,0,0,0,0,0
"negative regulation of viral entry into host cell [GO_BP]",4.6892308499648,1.96968526381972,1.96881055157658,0,0,0,2.70476036655624
"negative regulation of viral genome replication [GO_BP]",6.08110371583976,0,0,0,0,0,3.37916795713584
"negative regulation of viral life cycle [GO_BP]",4.487498050728,1.90151993899108,1.90107930422727,0,0,0,3.37916795713584
"negative regulation of viral process [GO_BP]",8,2.15623305366757,2.17310426926589,0,0,0,8
"negative regulation of viral transcription [GO_BP]",1.51340886755958,0,0,0,0,0,0
"negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway [GO_BP]",0,0,0,0,0,0,1.54829852739896
"negative regulation of wound healing [GO_BP]",0,0,0,0,1.50626299363184,0,0
"negative thymic T cell selection [GO_BP]",1.76895189210162,0,0,0,0,0,0
"neuroinflammatory response [GO_BP]",0,0,0,0,1.32866323664272,0,3.01954908789239
"neutrophil chemotaxis [GO_BP]",2.720469383222,2.17397519576105,2.17713627341487,0,0,0,1.4552706054107
"neutrophil homeostasis [GO_BP]",0,0,0,1.48759407659098,0,0,0
"neutrophil migration [GO_BP]",2.2866675844128,1.9787501493158,1.98177651320939,0,0,0,0
"nuclear transport [GO_BP]",0,0,0,0,0,0,1.34955772918007
"nucleobase-containing compound catabolic process [GO_BP]",0,0,0,0,0,0,2.11090083057827
"nucleocytoplasmic transport [GO_BP]",0,0,0,0,0,0,1.34955772918007
"nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway [GO_BP]",0,0,0,0,0,0,4.34327137700614
"nucleotide-binding oligomerization domain containing 2 signaling pathway [GO_BP]",0,0,0,0,0,0,3.65521142884401
