"Pathway","IFN_Responsive_Microglia_UP","Infiltrating_Macrophages_UP","Transiently_Activated_Microglia_UP","Homeostatic_Microglia_UP","Homeostatic_Microglia_DOWN","Transiently_Activated_Microglia_DOWN","Infiltrating_Macrophages_DOWN","Cluster"
"positive regulation of interferon-alpha production [GO_BP]",1.93869888196167,3.54848127152425,0,1.9787501493158,0,0,0,3
"regulation of interferon-alpha production [GO_BP]",2.51814880442855,4.51960280449832,0,1.91489096497795,0,0,0,3
"natural killer cell activation [GO_BP]",3.21271619177931,4.51960280449832,0,1.31638354383175,0,0,0,3
"interferon-alpha production [GO_BP]",3.30652099476528,4.42645531345407,0,1.88858038813209,0,0,0,3
"canonical inflammasome complex assembly [GO_BP]",4.78624592840325,2.96237907788124,0,0,0,0,0,3
"lymphocyte proliferation [GO_BP]",4.64315470510182,2.93999651633565,0,0,0,0,0,3
"regulation of NLRP3 inflammasome complex assembly [GO_BP]",4.12409963396192,3.11557807356766,0,0,0,0,0,3
"NLRP3 inflammasome complex assembly [GO_BP]",3.96707072245724,3.03038705828405,0,0,0,0,0,3
"T cell proliferation [GO_BP]",3.454596123109,3.02228670595032,0,0,0,0,0,3
"regulation of antigen processing and presentation [GO_BP]",3.53493376990591,2.75536656822727,0,0,0,0,0,3
"receptor signaling pathway via STAT [GO_BP]",3.78104236843157,3.51026361046508,0,0,0,0,0,3
"Antigen processing-Cross presentation [Reactome]",3.92382967963739,3.76867121654164,0,0,0,0,0,3
"receptor signaling pathway via JAK-STAT [GO_BP]",3.95829011445237,3.60177539666255,0,0,0,0,0,3
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC [Reactome]",4.45194242090176,3.76867121654164,0,0,0,0,0,3
"biological process involved in interaction with host [GO_BP]",4.40294198539476,3.49761232880339,0,0,0,0,0,3
"regulation of T cell proliferation [GO_BP]",2.69103264047134,3.54475630384951,0,0,0,0,0,3
"MHC protein complex assembly [GO_BP]",2.96298250346101,4.60866705076107,0,0,0,0,0,3
"peptide antigen assembly with MHC protein complex [GO_BP]",2.96298250346101,4.60866705076107,0,0,0,0,0,3
"negative regulation of viral genome replication [GO_BP]",3.37916795713584,6.08110371583976,0,0,0,0,0,3
"disruption of anatomical structure in another organism [GO_BP]",3.74726106983723,4.51960280449832,0,0,0,0,0,3
"killing of cells of another organism [GO_BP]",3.84819272080458,4.58774847096863,0,0,0,0,0,3
"disruption of cell in another organism [GO_BP]",3.84819272080458,4.58774847096863,0,0,0,0,0,3
"viral genome replication [GO_BP]",3.98010848080756,4.99065315501148,0,0,0,0,0,3
"regulation of alpha-beta T cell activation [GO_BP]",4.31330786460542,4.70529481838737,0,0,0,0,0,3
"Human cytomegalovirus infection - Mus musculus (house mouse) [KEGG]",4.87283821640107,2.73844233232651,1.5517076580696,2.25425774002754,0,0,0,4
"positive regulation of tumor necrosis factor production [GO_BP]",4.53533771774375,2.26400028240479,1.98034213575324,1.9787501493158,0,0,0,4
"positive regulation of tumor necrosis factor superfamily cytokine production [GO_BP]",4.47211990035115,2.23841268639577,1.96881055157658,1.96968526381972,0,0,0,4
"regulation of leukocyte mediated immunity [GO_BP]",6.11694350741543,2.92038942124739,1.35378896532107,1.38074924587844,0,0,0,4
"leukocyte proliferation [GO_BP]",5.57345060142143,3.24226222343294,1.68169604666374,1.68589360971434,0,0,0,4
"negative regulation of leukocyte mediated immunity [GO_BP]",5.62782654269422,3.07532902915441,1.45041504634419,1.47985999657431,0,0,0,4
"regulation of mononuclear cell proliferation [GO_BP]",4.78836288517555,3.55250302558014,1.34099330233413,1.36657857436362,0,0,0,4
"negative regulation of lymphocyte mediated immunity [GO_BP]",4.53180175837736,3.42182142792993,1.57783565964233,1.59592376694218,0,0,0,4
"regulation of tumor necrosis factor superfamily cytokine production [GO_BP]",4.53180175837736,3.63243390352324,1.61200972482831,1.62487633861932,0,0,0,4
"tumor necrosis factor superfamily cytokine production [GO_BP]",4.38509089514123,3.55250302558014,1.59028579712408,1.60502371742448,0,0,0,4
"negative regulation of response to external stimulus [GO_BP]",5.52755640477021,3.57945687674307,2.17713627341487,1.60702118132816,0,0,0,4
"regulation of leukocyte proliferation [GO_BP]",4.93397633593623,4.05147216843735,1.94010043784273,1.93581329645007,0,0,0,4
"negative regulation of natural killer cell mediated cytotoxicity [GO_BP]",4.90951025944172,3.54848127152425,1.99432826036118,1.9787501493158,0,0,0,4
"negative regulation of natural killer cell mediated immunity [GO_BP]",4.79844551588092,3.50052700115299,1.98034213575324,1.9787501493158,0,0,0,4
"antigen processing and presentation via MHC class Ib [GO_BP]",5.53986962607784,3.87414304236141,3.13994771134123,3.2609622773109,0,0,0,4
"antigen processing and presentation of exogenous peptide antigen via MHC class Ib [GO_BP]",4.37534878959761,4.72533015681515,3.52083242387424,3.57969908309506,0,0,0,4
"antigen processing and presentation of peptide antigen via MHC class Ib [GO_BP]",4.70888854877401,4.12488032221868,3.15916414879325,3.3443663436197,0,0,0,4
"T cell mediated cytotoxicity [GO_BP]",4.31330786460542,3.78706013479843,2.53419750883915,2.58009919089561,0,0,0,4
"positive regulation of cytokine production involved in immune response [GO_BP]",4.07562047421132,3.63537809834357,2.95442092434043,3.00852992878341,0,0,0,4
"positive regulation of cytokine-mediated signaling pathway [GO_BP]",4.70888854877401,4.58774847096863,2.45156237491741,2.46860722808103,0,0,0,4
"positive regulation of T cell mediated cytotoxicity [GO_BP]",4.60243837412047,4.62448016440405,2.93359162955961,2.9712689897105,0,0,0,4
"regulation of T cell mediated cytotoxicity [GO_BP]",4.12409963396192,4.31298642562447,2.75964824964558,2.83554824816518,0,0,0,4
"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II [GO_BP]",4.22574627084258,3.7924003636392,2.11367253914053,2.08538902264245,0,0,0,4
"antigen processing and presentation of exogenous peptide antigen via MHC class II [GO_BP]",4.70888854877401,4.12488032221868,2.20586072946622,2.20555932132446,0,0,0,4
"antigen processing and presentation of peptide antigen via MHC class II [GO_BP]",4.44968208388187,3.95666290342495,2.17310426926589,2.15445684180655,0,0,0,4
"positive regulation of cell killing [GO_BP]",4.53535068002842,3.95666290342495,2.27508968246387,2.28388719841325,0,0,0,4
"CD8-positive, alpha-beta T cell activation [GO_BP]",3.90194112208138,4.15789618061726,1.81757483691117,2.76282535558453,0,0,0,4
"positive regulation of T cell mediated immunity [GO_BP]",3.69837461954282,4.48906376980748,2.42305582963985,2.42640516101084,0,0,0,4
"positive regulation of leukocyte mediated cytotoxicity [GO_BP]",4.17979093334104,4.23945655405314,2.3546276846518,2.334313097825,0,0,0,4
"response to type I interferon [GO_BP]",2.73366974642127,6.56785284354983,2.39236876793722,1.56904449313524,0,0,0,4
"type I interferon-mediated signaling pathway [GO_BP]",2.2325531551051,5.69515659180589,2.45156237491741,1.60778132559141,0,0,0,4
"cellular response to type I interferon [GO_BP]",2.2325531551051,5.69515659180589,2.45156237491741,1.60778132559141,0,0,0,4
"immunoglobulin mediated immune response [GO_BP]",2.70476036655624,4.487498050728,1.87037588381952,1.87125059606266,1.72095286174281,0,0,4
"B cell mediated immunity [GO_BP]",2.65903798592786,4.44310178467793,1.86420645238016,1.86389402634815,1.72095286174281,0,0,4
"regulation of CD8-positive, alpha-beta T cell activation [GO_BP]",3.75106653287083,4.74109932839265,1.98034213575324,1.9787501493158,0,0,0,4
"negative regulation of viral life cycle [GO_BP]",3.37916795713584,4.487498050728,1.90107930422727,1.90151993899108,0,0,0,4
"positive regulation of alpha-beta T cell proliferation [GO_BP]",3.24103876592642,4.36357221100241,1.87230496801089,1.87276861114439,0,0,0,4
"negative regulation of viral entry into host cell [GO_BP]",2.70476036655624,4.6892308499648,1.96881055157658,1.96968526381972,0,0,0,4
"regulation of T cell mediated immunity [GO_BP]",2.74264937329589,3.71619723619754,2.21235826312902,2.21855489691413,0,0,0,4
"regulation of CD8-positive, alpha-beta T cell proliferation [GO_BP]",2.64104780544036,4.31298642562447,2.25659798724775,2.2636330081957,0,0,0,4
"CD8-positive, alpha-beta T cell proliferation [GO_BP]",2.54277063417518,4.2099918407904,2.22910316954744,2.23361216644567,0,0,0,4
"positive regulation of lymphocyte mediated immunity [GO_BP]",2.89936247196181,3.73321916880282,1.91413129909128,1.91322975330862,0,0,0,4
"positive regulation of leukocyte mediated immunity [GO_BP]",2.96683891131211,3.38002163023871,1.79531178818865,1.79618650043178,0,0,0,4
"negative regulation of cytokine-mediated signaling pathway [GO_BP]",3.55531201608728,3.32327143085894,2.39642569720301,1.5702166424146,0,0,0,4
"negative regulation of response to cytokine stimulus [GO_BP]",3.38238885522395,3.20698520072821,2.3546276846518,1.53484781376051,0,0,0,4
"T cell mediated immunity [GO_BP]",3.69837461954282,3.00809488925786,1.94864184302613,1.94714205792766,0,0,0,4
"positive regulation of mononuclear cell proliferation [GO_BP]",3.44453590214387,3.29960105983352,1.77052224509777,1.77387157646876,0,0,0,4
"tolerance induction [GO_BP]",3.24103876592642,3.1472736543758,1.87230496801089,1.87276861114439,0,0,0,4
"regulation of natural killer cell mediated cytotoxicity [GO_BP]",3.65521142884401,3.387452098883,1.56517099573551,1.58791412287407,0,0,0,4
"regulation of natural killer cell mediated immunity [GO_BP]",3.51027852581393,3.29960105983352,1.53465160329762,1.56904449313524,0,0,0,4
"regulation of lymphocyte mediated immunity [GO_BP]",3.95838187651019,3.64428432280188,1.61200972482831,1.62487633861932,0,0,0,4
"regulation of lymphocyte proliferation [GO_BP]",3.7800232778186,3.59637426172408,1.35378896532107,1.38074924587844,0,0,0,4
"natural killer cell mediated cytotoxicity [GO_BP]",3.6058057752204,2.89092480926038,1.37362685202337,1.4001678460563,0,0,0,4
"natural killer cell mediated immunity [GO_BP]",3.49425399416601,2.82885452241485,1.35266302232283,1.3781059260567,0,0,0,4
"positive regulation of leukocyte proliferation [GO_BP]",3.69350664303432,3.08179320354361,1.68342410485621,1.68730664007798,0,0,0,4
"regulation of tumor necrosis factor production [GO_BP]",4.00586322314288,2.93930364676731,1.61699482472669,1.62487633861932,0,0,0,4
"tumor necrosis factor production [GO_BP]",3.86516800780903,2.86326788859373,1.60623950975304,1.61580339764853,0,0,0,4
"positive regulation of type II hypersensitivity [GO_BP]",2.96298250346101,3.12220094498554,2.3546276846518,2.334313097825,0,0,0,4
"regulation of type II hypersensitivity [GO_BP]",2.96298250346101,3.12220094498554,2.3546276846518,2.334313097825,0,0,0,4
"type II hypersensitivity [GO_BP]",2.96298250346101,3.12220094498554,2.3546276846518,2.334313097825,0,0,0,4
"positive regulation of type IIa hypersensitivity [GO_BP]",2.96298250346101,3.12220094498554,2.3546276846518,2.334313097825,0,0,0,4
"type IIa hypersensitivity [GO_BP]",2.96298250346101,3.12220094498554,2.3546276846518,2.334313097825,0,0,0,4
"regulation of type IIa hypersensitivity [GO_BP]",2.96298250346101,3.12220094498554,2.3546276846518,2.334313097825,0,0,0,4
"positive regulation of production of molecular mediator of immune response [GO_BP]",3.20147721343832,3.52293348541195,2.48117911164268,2.48046008087926,0,0,0,4
"antibody-dependent cellular cytotoxicity [GO_BP]",3.23615462241698,3.32325046825355,2.40565952515347,2.41128067242106,0,0,0,4
"acute inflammatory response to antigenic stimulus [GO_BP]",3.51411235087226,2.1621801254746,1.93200328795796,1.93241818598991,0,0,0,4
"regulation of cytokine production involved in immune response [GO_BP]",3.66726699742933,2.9916863925914,2.59761097216236,2.65647763138319,0,0,0,4
"antigen processing and presentation of endogenous peptide antigen via MHC class Ib [GO_BP]",3.65521142884401,2.82470687756929,2.22910316954744,2.23361216644567,0,0,0,4
"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway [GO_BP]",3.65521142884401,2.82470687756929,2.22910316954744,2.23361216644567,0,0,0,4
"regulation of production of molecular mediator of immune response [GO_BP]",3.27908679281633,2.8522315254841,2.27145117939897,2.28133137792892,0,0,0,4
"regulation of hypersensitivity [GO_BP]",3.43325190866724,2.69233547739561,2.17713627341487,2.17397519576105,0,0,0,4
"cytokine production involved in immune response [GO_BP]",3.14923413123694,2.69233547739561,2.46714179282292,2.46860722808103,0,0,0,4
"hypersensitivity [GO_BP]",3.24052841461959,2.56635656863114,2.14252269365884,2.11648824734462,0,0,0,4
"regulation of acute inflammatory response to antigenic stimulus [GO_BP]",3.15068434212377,2.50656087652576,2.11367253914053,2.08538902264245,0,0,0,4
"humoral immune response [GO_BP]",0,3.56991179061732,1.86420645238016,1.86494136950159,1.72095286174281,0,2.3791516239122,4
"antimicrobial humoral response [GO_BP]",0,4.17531595425368,2.3546276846518,2.334313097825,0,0,0,4
"positive regulation of immunoglobulin production [GO_BP]",0,2.31451479110123,1.54461365962182,1.5702166424146,0,0,0,4
"regulation of immunoglobulin production [GO_BP]",0,1.86044226916949,1.3256384408866,1.35327386274334,0,0,0,4
"leukocyte chemotaxis [GO_BP]",0,1.37053552130911,2.21235826312902,1.56904449313524,0,0,0,4
"regulation of interleukin-4 production [GO_BP]",0,1.98068581585688,1.86420645238016,1.86389402634815,0,0,0,4
"interleukin-4 production [GO_BP]",0,1.80801722378306,1.77275526272501,1.77576410448083,0,0,0,4
"positive regulation of interleukin-13 production [GO_BP]",0,2.45340843716521,2.07862785799443,2.05121293074969,0,0,0,4
"positive regulation of interleukin-4 production [GO_BP]",0,2.1621801254746,1.93200328795796,1.93241818598991,0,0,0,4
"neutrophil migration [GO_BP]",0,2.2866675844128,1.98177651320939,1.9787501493158,0,0,0,4
"interleukin-13 production [GO_BP]",0,2.27703899065846,1.98034213575324,1.9787501493158,0,0,0,4
"regulation of interleukin-13 production [GO_BP]",0,2.27703899065846,1.98034213575324,1.9787501493158,0,0,0,4
"immunoglobulin production [GO_BP]",2.72495000164002,3.60177539666255,1.87230496801089,0,0,0,0,4
"negative regulation of type I interferon-mediated signaling pathway [GO_BP]",2.29102406472937,2.62765938814533,2.17310426926589,0,0,0,0,4
"immune system development [GO_BP]",2.91612597344247,2.62765938814533,1.5169668646281,0,0,0,0,4
"regulation of type I interferon-mediated signaling pathway [GO_BP]",1.44047256799979,2.9916863925914,1.81757483691117,0,0,0,0,4
"protein homotetramerization [GO_BP]",1.35548507630689,1.80801722378306,1.77275526272501,0,0,0,0,4
"regulation of acute inflammatory response [GO_BP]",2.6968715879541,1.74115928415571,1.72699851220587,1.73198979064384,0,0,0,4
"myeloid leukocyte migration [GO_BP]",2.29144439988951,1.86044226916949,2.17358576581974,2.16030444172414,0,0,0,4
"positive regulation of acute inflammatory response [GO_BP]",2.70476036655624,2.24212211737727,1.96881055157658,1.96968526381972,0,0,0,4
"positive regulation of myeloid leukocyte mediated immunity [GO_BP]",2.51814880442855,2.12480165818156,1.91625373569478,1.91489096497795,0,0,0,4
"regulation of inflammatory response to antigenic stimulus [GO_BP]",2.35316469980808,2.01603809356505,1.87230496801089,1.87276861114439,0,0,0,4
"granulocyte chemotaxis [GO_BP]",2.07285623216815,2.29987434424312,2.70451345131997,1.9787501493158,0,0,0,4
"granulocyte migration [GO_BP]",1.60626949732882,1.94754611058129,2.48117911164268,1.8619602459259,0,0,0,4
"positive regulation of leukocyte migration [GO_BP]",1.88347579685345,1.80275102630457,2.44729632883623,1.79064856221608,0,0,0,4
"inflammatory response to antigenic stimulus [GO_BP]",2.07684440234174,1.42898289775628,1.54461365962182,1.5702166424146,0,0,0,4
"Human papillomavirus infection - Mus musculus (house mouse) [KEGG]",1.61721697534487,1.87716893361877,1.37173583626545,1.84029939434213,0,0,0,4
"regulation of B cell mediated immunity [GO_BP]",1.80045460857832,2.11160462752547,1.44587721951252,1.47184170885825,0,0,0,4
"regulation of immunoglobulin mediated immune response [GO_BP]",1.80045460857832,2.11160462752547,1.44587721951252,1.47184170885825,0,0,0,4
"viral entry into host cell [GO_BP]",2.13306580346232,2.82885452241485,1.35266302232283,1.3781059260567,0,0,0,4
"entry into host [GO_BP]",2.04311318065703,2.74268843908399,1.31923391640778,1.34901560226108,0,0,0,4
"positive regulation of B cell mediated immunity [GO_BP]",1.63767818104548,2.50492272138298,1.61200972482831,1.62487633861932,0,0,0,4
"positive regulation of immunoglobulin mediated immune response [GO_BP]",1.63767818104548,2.50492272138298,1.61200972482831,1.62487633861932,0,0,0,4
"positive regulation of natural killer cell mediated cytotoxicity [GO_BP]",1.37696968026528,2.92611355174816,1.78325387708037,1.79064856221608,0,0,0,4
"positive regulation of natural killer cell mediated immunity [GO_BP]",1.32438397366979,2.85878025435378,1.75888391891573,1.76290191012921,0,0,0,4
"regulation of biological process involved in symbiotic interaction [GO_BP]",1.55777278755869,3.44630128204732,1.58869964153092,1.60410060697066,0,0,0,4
"Type I diabetes mellitus - Mus musculus (house mouse) [KEGG]",1.61243493745908,3.33449240191751,1.41126329091661,1.83801242432955,0,0,0,4
"Graft-versus-host disease - Mus musculus (house mouse) [KEGG]",1.67884325150715,3.38540435376268,1.41126329091661,1.84029939434213,0,0,0,4
"Autoimmune thyroid disease - Mus musculus (house mouse) [KEGG]",1.70533091080703,3.39799834961411,1.41126329091661,1.84029939434213,0,0,0,4
"Allograft rejection - Mus musculus (house mouse) [KEGG]",1.70533091080703,3.39799834961411,1.41126329091661,1.84029939434213,0,0,0,4
"positive regulation of lymphocyte proliferation [GO_BP]",2.37074597783177,3.34364771953272,1.78325387708037,1.79064856221608,0,0,0,4
"positive regulation of natural killer cell activation [GO_BP]",2.20323473138889,3.03038705828405,1.83260273692872,1.83764428384083,0,0,0,4
"Endosomal/Vacuolar pathway [Reactome]",2.22590648592428,3.76867121654164,1.51286510597491,1.57087583052793,0,0,0,4
"regulation of natural killer cell activation [GO_BP]",2.26679228857467,3.51026361046508,1.60692819139349,1.61623607117348,0,0,0,4
"regulation of viral entry into host cell [GO_BP]",1.93296508659955,3.87414304236141,1.72699851220587,1.73198979064384,0,0,0,4
"modulation by symbiont of entry into host [GO_BP]",1.76568027575956,3.66304607408419,1.65633260377889,1.66145392997405,0,0,0,4
"positive regulation of hypersensitivity [GO_BP]",2.73007886637075,2.96237907788124,2.27508968246387,2.28388719841325,0,0,0,4
"positive regulation of CD8-positive, alpha-beta T cell activation [GO_BP]",2.64104780544036,2.89092480926038,2.25659798724775,2.2636330081957,0,0,0,4
"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent [GO_BP]",2.64104780544036,2.89092480926038,2.25659798724775,2.2636330081957,0,0,0,4
"positive regulation of acute inflammatory response to antigenic stimulus [GO_BP]",2.64104780544036,2.89092480926038,2.25659798724775,2.2636330081957,0,0,0,4
"natural killer cell proliferation [GO_BP]",2.04808385935218,2.39925747382626,2.04912827161612,2.02339943590745,0,0,0,4
"positive regulation of natural killer cell proliferation [GO_BP]",2.44724262970445,2.75536656822727,2.20586072946622,2.20555932132446,0,0,0,4
"regulation of natural killer cell proliferation [GO_BP]",2.37062256472693,2.69233547739561,2.17713627341487,2.17397519576105,0,0,0,4
"positive regulation of inflammatory response to antigenic stimulus [GO_BP]",2.29102406472937,2.62765938814533,2.17310426926589,2.15445684180655,0,0,0,4
"neutrophil chemotaxis [GO_BP]",1.4552706054107,2.720469383222,2.17713627341487,2.17397519576105,0,0,0,4
"positive regulation of natural killer cell cytokine production [GO_BP]",1.78434352939868,3.03038705828405,2.31767791292742,2.30229854377613,0,0,0,4
"natural killer cell cytokine production [GO_BP]",1.70394056869901,2.96237907788124,2.27508968246387,2.28388719841325,0,0,0,4
"regulation of natural killer cell cytokine production [GO_BP]",1.70394056869901,2.96237907788124,2.27508968246387,2.28388719841325,0,0,0,4
"antibacterial humoral response [GO_BP]",1.70029075771094,3.29960105983352,2.89508143155607,2.94316476904548,0,0,0,4
"positive regulation of CD8-positive, alpha-beta T cell proliferation [GO_BP]",2.04644364893825,3.32325046825355,2.40565952515347,2.41128067242106,0,0,0,4
"positive regulation of TRAIL production [GO_BP]",2.14126933174168,3.44159582472305,2.45156237491741,2.46860722808103,0,0,0,4
"regulation of TRAIL production [GO_BP]",2.14126933174168,3.44159582472305,2.45156237491741,2.46860722808103,0,0,0,4
"natural killer cell tolerance induction [GO_BP]",2.14126933174168,3.44159582472305,2.45156237491741,2.46860722808103,0,0,0,4
"TRAIL production [GO_BP]",2.14126933174168,3.44159582472305,2.45156237491741,2.46860722808103,0,0,0,4
